"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HOPX",0,1.250607190002,0.5,0.203,0,"1","HOPX"
"PARP8",0,1.25108810911729,0.635,0.338,0,"1","PARP8"
"ARL4C1",0,0.95926196598609,0.788,0.492,0,"1","ARL4C"
"APOBEC3G",0,1.60258219983898,0.504,0.209,0,"1","APOBEC3G"
"LIME11",0,1.19116917933728,0.576,0.284,0,"1","LIME1"
"ZAP70",0,1.13588885586681,0.547,0.257,0,"1","ZAP70"
"CD247",0,0.729032724993709,0.61,0.32,0,"1","CD247"
"IL2RG1",0,0.938871073403635,0.789,0.5,0,"1","IL2RG"
"CD71",0,0.671258418791365,0.67,0.382,0,"1","CD7"
"CD96",0,1.13563277485934,0.558,0.272,0,"1","CD96"
"FYB11",0,0.533531480908713,0.774,0.493,0,"1","FYB1"
"IFITM11",0,0.926602968755183,0.822,0.542,0,"1","IFITM1"
"RUNX3",0,1.17916600942434,0.552,0.274,0,"1","RUNX3"
"SKAP11",0,1.03523900913157,0.586,0.308,0,"1","SKAP1"
"TRBC21",0,0.968792514952673,0.699,0.422,0,"1","TRBC2"
"LCP1",0,0.87208162952422,0.81,0.534,0,"1","LCP1"
"PLAAT41",0,1.17383672351186,0.669,0.395,0,"1","PLAAT4"
"GIMAP71",0,0.788084643667087,0.644,0.371,0,"1","GIMAP7"
"TUBA4A1",0,0.982461618854759,0.678,0.415,0,"1","TUBA4A"
"PRKCH",0,1.11877735991419,0.544,0.283,0,"1","PRKCH"
"CMC1",0,1.7361128994921,0.503,0.243,0,"1","CMC1"
"SRGN",0,0.360461201197545,0.949,0.689,0,"1","SRGN"
"PTPRC1",0,0.899020963449649,0.957,0.698,0,"1","PTPRC"
"AKNA",0,1.07841198191493,0.603,0.344,0,"1","AKNA"
"SLC9A3R1",0,1.22760798820869,0.591,0.332,0,"1","SLC9A3R1"
"GNG2",0,1.0624247347613,0.56,0.302,0,"1","GNG2"
